accession_count	accession	experiment_type	organism	_assay_groups_developmental_stage	_assay_groups_organism_part	_assay_groups_age	_assay_groups_genotype	_assay_groups_disease	_assay_groups_sex
4334	E-PROT-25	proteomics_baseline	Homo sapiens		blood; blood component; blood plasma; bone marrow; breast; bronchiole; central nervous system; colonic mucosa; colorectum; embryonic central brain glia; epithelium of bronchiole; fallopian tube; lung; lymph node; lymphatic part of lymphoid system; lymphoid tissue; ovary; pleura; prostate gland; proximal renal artery; rectum; renal glomerulus; renal system; skin			Ovarian Endometrioid Adenocarcinoma; Pleural Epithelioid Mesothelioma; adult T acute lymphoblastic leukemia; adult acute myeloid leukemia; amelanotic melanoma; anaplastic large cell lymphoma; astrocytoma; breast adenocarcinoma; childhood T acute lymphoblastic leukemia; chronic myelogenous leukemia; clear cell renal carcinoma; colorectal adenocarcinoma; cutaneous melanoma; glioblastoma multiforme; gliosarcoma; high grade ovarian serous adenocarcinoma; invasive ductal carcinoma; lung adenocarcinoma; melanoma; metastatic melanoma; multiple myeloma; non-small cell lung adenocarcinoma; non-small cell lung carcinoma; ovarian serous cystadenocarcinoma; prostate carcinoma; rectosigmoid adenocarcinoma; renal cell carcinoma	
4335	E-PROT-26	proteomics_baseline	Homo sapiens	adult	breast; lymph node			breast carcinoma	female
4336	E-PROT-27	proteomics_baseline	Homo sapiens	adult	breast			HER2 Positive Breast Carcinoma; breast tumor luminal; triple-negative breast cancer	female
4337	E-PROT-28	proteomics_baseline	Homo sapiens	adult	ovary; uterine cervix			Ovarian Endometrioid Adenocarcinoma; cervical squamous cell carcinoma; high grade ovarian serous adenocarcinoma; normal; ovarian adenocarcinoma; ovarian clear cell adenocarcinoma; ovarian cystadenocarcinoma; ovarian serous adenocarcinoma; ovarian serous cystadenocarcinoma; premalignant ovarian carcinoma	female
4338	E-PROT-29	proteomics_baseline	Homo sapiens	adult	adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; endometrium; esophagus; fallopian tube; gallbladder; heart; kidney; liver; lung; lymph node; ovary; pancreas; pituitary gland; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid; tonsil; urinary bladder; vermiform appendix	20 year; 21 year; 23 year; 26 year; 38 year; 39 year; 40 year; 41 year; 48 year; 52 year; 56 year; 59 year; 60 year; 63 year; 64 year; 65 year; 69 year; 73 year; 74 year; 77 year; 80 year; 82 year; not available		normal	female; male; not available
4339	E-PROT-3	proteomics_baseline	Homo sapiens		adrenal gland; bone marrow; breast; bronchus; cerebellum; cerebral cortex; cervix, uterine; colon; duodenum; endometrium; epididymis; esophagus; fallopian tube; gall bladder; heart muscle; hippocampal formation; kidney; liver; lung; lymph node; nasopharynx; oral mucosa; ovary; pancreas; parathyroid gland; placenta; prostate gland; rectum; saliva-secreting gland; seminal vesicle; skeletal muscle tissue; small intestine; smooth muscle tissue; soft tissue; spleen; stomach; telencephalic ventricle; testis; thyroid gland; tonsil; urinary bladder; vagina; vermiform appendix; zone of skin				
4340	E-PROT-30	proteomics_baseline	Homo sapiens	adult,infant; infant,adult	amygdala; cerebellum; dorsolateral prefrontal cortex; hippocampus; medial dorsal nucleus of thalamus; primary visual cortex; striatum	20 year,1 year,5 year,24 year,2 year,3 year,31 year,37 year,9 year,41 year; 38 year,1 year,20 year,5 year,24 year,2 year,3 year,31 year,37 year,9 year,41 year; 38 year,12 year,1 year,5 year,24 year,2 year,31 year,16 year,37 year,9 year,41 year,4 year; 38 year,20 year,1 year,5 year,24 year,2 year,3 year,31 year,37 year,9 year,41 year; 38 year,20 year,5 year,1 year,24 year,2 year,3 year,31 year,37 year,9 year,41 year; 38 year,24 year,1 year,5 year,20 year,2 year,3 year,31 year,37 year,9 year,41 year		normal	female,male
4341	E-PROT-31	proteomics_baseline	Homo sapiens	adult	Thalamus; amygdala; caudate nucleus; cerebellum; entorhinal cortex; middle frontal gyrus; parietal lobe; superior temporal gyrus; visual cortex	78 year; 79 year; 80 year		Alzheimer's disease; normal	female; male
4342	E-PROT-32	proteomics_baseline	Homo sapiens	adult	entorhinal cortex; frontal cortex; parahippocampal gyrus; temporal cortex	44 year; 47 year; 50 year; 52 year; 54 year; 56 year; 61 year; 62 year; 64 year; 65 year; 67 year; 68 year; 70 year; 72 year; 75 year; 77 year; 78 year; 79 year; 80 year; 83 year; 84 year; 85 year; 86 year; 87 year; 89 year; 90 year; 91 year; 93 year; 94 year		Alzheimer's disease; normal	female; male
4343	E-PROT-33	proteomics_baseline	Homo sapiens	adult	anterior pituitary gland	34 year		normal	male
4344	E-PROT-34	proteomics_baseline	Homo sapiens	adult	dorsolateral prefrontal cortex			normal	not available
4345	E-PROT-35	proteomics_baseline	Homo sapiens	adult	temporal lobe	67 year,69 year,62 year; 69 year,67 year,62 year		normal	male
4346	E-PROT-36	proteomics_baseline	Homo sapiens	adult,infant; juvenile,infant,adult,child	cerebellum; occipital lobe	22 year,30 year,39 year,1 year,28 year,60 year; 30 year,1 year,28 year,11 year,60 year,22 year,39 year,4 year,8 year		normal	not available,male
4347	E-PROT-37	proteomics_baseline	Homo sapiens	adult	breast	64 to 75 year		invasive breast carcinoma	female
4348	E-PROT-38	proteomics_baseline	Homo sapiens	adult	breast	59 year,52 year,39 year,67 year,63 year,36 year; 59 year,52 year,67 year,39 year,63 year,36 year		invasive breast ductal carcinoma	female
4349	E-PROT-39	proteomics_differential	Homo sapiens	adult	middle frontal gyrus	68 year; 83 year		Alzheimer's disease	female
4350	E-PROT-40	proteomics_baseline	Homo sapiens	adult	colonic mucosa	23 year; 27 year; 28 year; 31 year; 42 year; 48 year; 54 year		ulcerative colitis	female; male
4351	E-PROT-41	proteomics_baseline	Homo sapiens		colonic mucosa	not available		normal	not available
4352	E-PROT-42	proteomics_baseline	Homo sapiens		corpus callosum; temporal lobe	not available		normal	not available
4353	E-PROT-43	proteomics_baseline	Homo sapiens		liver; ovary; pancreas; substantia nigra	not available		normal	female; not available
4354	E-PROT-44	proteomics_baseline	Homo sapiens		pineal gland	2 to 80 year		normal	male and female
4355	E-PROT-45	proteomics_baseline	Homo sapiens	adult	aorta; aortic valve; atrial septum; inferior vena cava; left atrium; left ventricle; mitral valve; pulmonary artery; pulmonary valve; pulmonary vein; right atrium; right ventricle; tricuspid valve; ventricular septum	22 year,47 year,21 year; 47 year,22 year,21 year		normal	male
4356	E-PROT-5	proteomics_baseline	Homo sapiens		zone of skin	40 to 44 year		normal	female; male
4357	E-PROT-51	proteomics_baseline	Homo sapiens	adult	dorsolateral prefrontal cortex	89 year,77 year,86 year,80 year,84 year,82 year,over 90 year,87 year; 89 year,77 year,86 year,80 year,85 year,82 year,88 year,over 90 year,87 year,83 year; 89 year,80 year,84 year,over 90 year,87 year,78 year,83 year,79 year		Alzheimer's disease; asymptomatic Alzheimer's disease; normal	female,male
4358	E-PROT-52	proteomics_baseline	Homo sapiens	adult	dorsolateral prefrontal cortex	68 year,51 year,65 year,34 year,40 year,31 year,37 year,45 year,42 year,59 year,53 year,63 year,60 year,48 year,64 year,52 year,41 year,33 year,47 year,30 year,36 year,44 year,39 year,55 year,61 year,50 year,35 year,43 year,57 year,49 year,46 year,62 year,54 year		normal	female,male
4359	E-PROT-53	proteomics_baseline	Homo sapiens	adult	dorsolateral prefrontal cortex	68 year,89 year,86 year,80 year,85 year,82 year,over 90 year,71 year,79 year,81 year,84 year,73 year,88 year,75 year,83 year,78 year; 89 year,68 year,86 year,80 year,72 year,82 year,85 year,76 year,over 90 year,87 year,66 year,71 year,79 year,74 year,81 year,77 year,84 year,73 year,88 year,67 year,75 year,78 year,83 year; 89 year,81 year,86 year,80 year,85 year,82 year,88 year,over 90 year,75 year,87 year,78 year,79 year		Alzheimer's disease; asymptomatic Alzheimer's disease; normal	female,male
4360	E-PROT-54	proteomics_baseline	Homo sapiens	adult	dorsolateral prefrontal cortex	81 year,65 year,80 year,84 year,72 year,64 year,82 year,over 90 year,71 year,87 year; 81 year,86 year,80 year,72 year,82 year,88 year,over 90 year,83 year,62 year; over 90 year,71 year,75 year,83 year		Alzheimer's disease; asymptomatic Alzheimer's disease; normal	female,male
4361	E-PROT-55	proteomics_baseline	Homo sapiens	adult	precuneus cortex	81 year,65 year,80 year,84 year,72 year,64 year,82 year,over 90 year,71 year,87 year,79 year; 86 year,81 year,80 year,72 year,82 year,88 year,over 90 year,83 year,62 year; over 90 year,71 year,75 year,83 year		Alzheimer's disease; asymptomatic Alzheimer's disease; normal	female,male
4362	E-PROT-56	proteomics_baseline	Homo sapiens	adult	temporal cortex	65 year,82 year,85 year,76 year,87 year,71 year,79 year,74 year,63 year,60 year,64 year,75 year,83 year,78 year,89 year,86 year,80 year,72 year,69 year,over 90 year,66 year,77 year,81 year,84 year,73 year,88 year,70 year; 68 year,65 year,82 year,76 year,85 year,71 year,79 year,74 year,64 year,67 year,75 year,83 year,78 year,89 year,86 year,80 year,72 year,69 year,61 year,66 year,81 year,77 year,73 year,70 year,62 year; 89 year,86 year,85 year,88 year,over 90 year,87 year		Alzheimer's disease; Progressive supranuclear palsy; normal	female,male
4363	E-PROT-57	proteomics_baseline	Homo sapiens	adult	frontal pole	68 year,89 year,90 year,86 year,65 year,80 year,72 year,85 year,87 year,79 year,74 year,81 year,84 year,73 year,64 year,88 year,75 year,83 year,78 year,70 year,62 year; 68 year,89 year,90 year,86 year,85 year,82 year,69 year,61 year,66 year,79 year,74 year,77 year,81 year,63 year,84 year,73 year,64 year,88 year,75 year,78 year,83 year,70 year,62 year; 89 year,90 year,81 year,84 year,73 year,85 year,88 year,69 year,87 year,83 year,79 year		Alzheimer's disease; asymptomatic Alzheimer's disease; normal	female,male
4364	E-PROT-58	proteomics_baseline	Homo sapiens	adult	dorsolateral prefrontal cortex	31 year,76 year,62 year; 34 year,65 year; 51 year; 65 year,80 year,72 year,76 year,over 90 year,66 year,71 year,79 year,74 year,77 year,81 year,84 year,67 year,78 year,83 year; 65 year,85 year,76 year,87 year,71 year,74 year,63 year,60 year,64 year,67 year,78 year,83 year,89 year,86 year,80 year,72 year,69 year,over 90 year,61 year,66 year,81 year,84 year,88 year,57 year,70 year,54 year; 66 year,54 year; 68 year,51 year,65 year,72 year,76 year,over 90 year,71 year,79 year,74 year,77 year,63 year,48 year,64 year,73 year,57 year,75 year,78 year,70 year,54 year,62 year; 68 year,51 year,65 year,82 year,76 year,71 year,79 year,74 year,59 year,63 year,53 year,48 year,56 year,64 year,67 year,75 year,78 year,47 year,80 year,55 year,61 year,66 year,58 year,77 year,81 year,73 year,43 year,57 year,49 year,70 year,54 year,62 year; 68 year,65 year,51 year,76 year,71 year,42 year,74 year,59 year,63 year,60 year,56 year,52 year,64 year,67 year,75 year,78 year,83 year,72 year,69 year,61 year,55 year,66 year,73 year,88 year,57 year,70 year,46 year,62 year; 68 year,76 year,82 year,85 year,71 year,79 year,74 year,63 year,64 year,67 year,75 year,78 year,83 year,86 year,80 year,72 year,61 year,over 90 year,66 year,58 year,77 year,81 year,84 year,73 year,70 year,62 year; 68 year,77 year,72 year,66 year,78 year,83 year,70 year,74 year,62 year; 68 year,86 year,80 year,82 year,61 year,66 year,71 year,79 year,74 year,58 year,59 year,63 year,56 year,64 year,67 year,70 year; 73 year; 76 year,86 year,over 90 year,79 year; 86 year,72 year,76 year,61 year,71 year,79 year,74 year,59 year,63 year,53 year,56 year,43 year,64 year,57 year,75 year,70 year,54 year; over 90 year		Alzheimer's disease; Corticobasal degeneration; Genetic frontotemporal degeneration with FUS inclusions; Genetic frontotemporal degeneration with TDP inclusions; Genetic frontotemporal degeneration with dementia; Genetic frontotemporal degeneration with ubiquitin inclusions; Lewy body dementia; Parkinson's disease and Parkinson's disease dementia; Pick disease; Progressive supranuclear palsy; Tangle predominant senile dementia; amyotrophic lateral sclerosis; amyotrophic lateral sclerosis with dementia; multiple system atrophy; normal; pathological aging	female; female,male; male
4365	E-PROT-59	proteomics_differential	Homo sapiens	adult	kidney	47 year, 77 year, 67 year, 65 year, 74 year; 64 year, 69 year		clear cell renal cell carcinoma; papillary renal cell carcinoma	female, male; male
4366	E-PROT-6	proteomics_baseline	Homo sapiens		caecum; colon; colon, derived from metastatic site ascites; colon, derived from metastatic site left supraclavicular region; colon, derived from metastatic site liver; colon, derived from metastatic site lung; colon, derived from metastatic site lymph node; colon, derived from metastatic site peritoneum; rectum			colorectal adenocarcinoma	
4367	E-PROT-60	proteomics_baseline_dia	Homo sapiens	adult	blood	38 to 78 year		normal	female
4368	E-PROT-61	proteomics_baseline	Homo sapiens	adult	amygdala; caudate nucleus; cerebellum; dorsal plus ventral thalamus; entorhinal cortex; middle frontal gyrus; neocortex; parietal lobe; superior temporal gyrus; visual cortex	78 year,79 year,84 year,74 year; 78 year,84 year,74 year; 79 year; 79 year,78 year; 80 year; 86 year,85 year,81 year; 86 year,85 year,81 year,80 year		Alzheimer's disease; normal	female; female,male; male
4369	E-PROT-62	proteomics_baseline	Homo sapiens	adult	heart left ventricle; left cardiac atrium; right cardiac atrium	43 year,49 year,50 year,44 year,54 year,60 year; 43 year,49 year,50 year,44 year,60 year,54 year		left atrial enlargement	male
4370	E-PROT-63	proteomics_baseline	Homo sapiens	neonate	umbilical artery			normal	not available
4371	E-PROT-65	proteomics_baseline	Homo sapiens	adult	prefrontal cortex; vermiform appendix			Parkinson's disease; normal	not available
4372	E-PROT-66	proteomics_baseline	Homo sapiens	adult	prostate gland			acinar adenocarcinoma; benign prostatic hyperplasia; ductal adenocarcinoma	male
4373	E-PROT-67	proteomics_differential	Homo sapiens	adult	neoplasm			intravascular lymphoma; primary central nervous system lymphoma	male
4374	E-PROT-68	proteomics_differential	Homo sapiens	adult	prostate gland	68 year, 65 year, 69 year, 55 year, 61 year, 66 year, 71 year, 59 year, 63 year, 60 year, 67 year, 57 year, 46 year, 70 year, 54 year; 68 year, 65 year, 69 year, 61 year, 55 year, 66 year, 71 year, 59 year, 63 year, 60 year, 67 year, 57 year, 46 year, 70 year, 54 year		prostate cancer	male
4375	E-PROT-69	proteomics_baseline	Homo sapiens	adult	liver	47 year,80 year,69 year,45 year,50 year,59 year,63 year,53 year,48 year,43 year,67 year,49 year,57 year,54 year,62 year; 47 year,80 year,69 year,50 year,45 year,59 year,63 year,53 year,48 year,43 year,67 year,49 year,57 year,54 year,62 year		hepatocellular carcinoma	female,male
4376	E-PROT-7	proteomics_baseline	Mus musculus		blood; liver	8 to 10 week	wild type genotype	cancer; hepatocellular carcinoma; normal	female; male
4377	E-PROT-70	proteomics_baseline	Homo sapiens	adult	prostate gland			prostate cancer	male
4378	E-PROT-71	proteomics_baseline	Homo sapiens	adult	liver	11 to 83 year; 23 to 81 year		normal	male and female; not available
4379	E-PROT-72	proteomics_baseline	Homo sapiens	adult	breast			breast cancer; breast ductal carcinoma in situ	female
4380	E-PROT-73	proteomics_baseline	Homo sapiens		blood; bone marrow; brain; breast; cell culture; colon; kidney; lung; ovary; prostate; skin			breast cancer; central nervous system cancer; colorectal cancer; leukemia; lung cancer; melanoma; ovarian cancer; prostate cancer; renal cancer	
4381	E-PROT-74	proteomics_baseline	Mus musculus	adult	plantaris	4 month	wild type genotype		female; male
4382	E-PROT-75	proteomics_baseline	Mus musculus	adult; juvenile stage	cerebellum; cortex; hippocampus	1 month; 12 month	wild type genotype		male
4383	E-PROT-76	proteomics_baseline	Mus musculus	adult	retina	30 week	wild type genotype		mixed
4384	E-PROT-77	proteomics_baseline	Mus musculus	adult; juvenile stage	lung	24 month; 3 month	wild type genotype		not available
4385	E-PROT-78	proteomics_baseline	Mus musculus	adult	lens of camera-type eye	3 month	wild type genotype		not available
4386	E-PROT-79	proteomics_baseline	Mus musculus	juvenile stage	brain; heart; kidney; liver; lung; pancreas; spleen; testis	3 week	wild type genotype		male
4387	E-PROT-81	proteomics_baseline	Mus musculus	juvenile days 45-89	heart left ventricle; heart right ventricle; left cardiac atrium; right cardiac atrium	8 week	C57BL6		male
4388	E-PROT-82	proteomics_baseline	Mus musculus	juvenile days 45-89	articular cartilage of joint	2 month	wild type genotype		male
4389	E-PROT-83	proteomics_baseline	Mus musculus	adult; juvenile stage	brain	not available	wild type genotype		not available
4390	E-PROT-84	proteomics_baseline	Mus musculus	adult; juvenile	hippocampus	1 month; 2 month; 4 month		Alzheimer’s disease	female; male
4391	E-PROT-85	proteomics_baseline	Mus musculus	adult	right cardiac atrium; sinoatrial node	12 to 14 week	C57BL/6J		male
4392	E-PROT-86	proteomics_baseline	Rattus norvegicus	adolescent	amygdala	38 day	wild type genotype		male
4393	E-PROT-87	proteomics_baseline	Rattus norvegicus	adult	lung			normal	male
4394	E-PROT-89	proteomics_baseline	Rattus norvegicus	adult	testis			normal	male
4395	E-PROT-9	proteomics_baseline	Mus musculus		hippocampus	60 day	wild type genotype		
4396	E-PROT-91	proteomics_baseline	Rattus norvegicus	adult; aged adult	heart left ventricle	24 month; 6 month		normal	female
4397	E-PROT-92	proteomics_baseline	Rattus norvegicus	adult	heart left ventricle	12 month		normal	male
4398	E-PROT-93	proteomics_baseline	Rattus norvegicus	adult	kidney	4 to 8 week		normal	male
4399	E-PROT-94	proteomics_baseline	Rattus norvegicus	adult	spinal cord			normal	male
4400	E-PROT-95	proteomics_baseline	Rattus norvegicus	adult	tendon	3 month		normal	female
4401	E-TABM-1006	microarray_1colour_mrna_differential	Arabidopsis thaliana		rosette leaf	24 day			
4402	E-TABM-1007	microarray_1colour_mrna_differential	Arabidopsis thaliana		seed				
4403	E-TABM-1009	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling		3 day			
4404	E-TABM-102	microarray_1colour_mrna_differential	Mus musculus						
4405	E-TABM-1020	microarray_1colour_mrna_differential	Homo sapiens		bone marrow, peripheral blood			acute myeloid leukemia	
4406	E-TABM-1029	microarray_1colour_mrna_differential	Homo sapiens		bone marrow			acute myeloid leukemia	
4407	E-TABM-105	microarray_1colour_mrna_differential	Danio rerio	adult	liver				female
4408	E-TABM-1118	microarray_1colour_mrna_differential	Homo sapiens		breast			breast cancer	female
4409	E-TABM-1138	microarray_1colour_mrna_differential	Homo sapiens		bone marrow			multiple myeloma	
